Frame,EgoScore,EgoDX_BEV,EgoDY_BEV
180,104.5802,0.3495,-0.9909
181,104.0039,0.2071,-1.1226
182,103.3724,-0.3449,-1.0997
183,105.4215,-0.4926,-5.0593
184,110.9596,-2.328,-8.9075
185,116.5218,-2.6792,-9.2975
186,118.9605,-2.323,-5.1127
187,118.7763,-1.3233,-0.7655
188,117.1569,-1.1634,0.4818
189,116.4877,-0.4507,0.6205
190,118.07,-1.5227,-2.9016
191,123.2123,-2.8473,-6.7184
192,126.2663,-2.6293,-3.9394
193,126.68,-1.7138,-1.1576
194,125.0315,-2.3036,-2.9532
195,115.8303,-2.0474,-3.4625
196,104.0662,-2.5072,-1.201
197,99.8333,-0.5706,3.3067
198,96.9838,-0.9721,4.6094
199,94.5601,-0.8191,3.8748
200,87.7311,-0.4311,1.6212
201,86.3542,-0.2313,0.0799
202,85.2403,-0.0892,-1.2309
203,84.1005,-0.0553,-1.3512
204,81.9286,0.0571,-2.1299
205,79.5992,0.0747,-2.0626
206,77.8945,0.0103,-2.3286
207,78.4245,0.1621,-3.3323
208,79.1395,0.0748,-2.9672
209,79.7204,-0.0658,-1.8929
210,79.2657,-0.3155,-0.3943
211,79.1227,-0.4959,0.8337
212,79.9808,-0.71,2.0635
213,77.1343,-0.6292,1.5442
214,70.6236,-0.5875,1.264
215,63.0928,-0.4484,0.4551
216,58.7796,-0.3436,0.2745
217,57.7248,-0.2031,-0.167
218,57.8168,0.0913,-1.3666
219,59.6214,0.5312,-2.884
220,60.0329,0.7735,-3.6905
221,57.4513,0.8935,-4.1028
222,57.0176,0.9464,-4.1081
223,58.1809,0.7827,-3.3745
224,57.1368,0.6002,-2.419
225,54.4326,0.3109,-0.7127
226,52.5892,0.2006,0.5314
227,51.5014,0.0117,2.0501
228,49.9231,-0.1958,2.8101
229,48.7539,-0.1731,2.5516
230,48.2456,0.2883,1.0278
